crop,year,season,state,area,production,fertilizer,pesticide,yield,temperature,rainfall,humidity,N,P,K,pH,N_crop,P_crop,K_crop,temperature_crop,humidity_crop,pH_crop,rainfall_crop,NPK_sum,fertilizer_per_area,pesticide_per_area,yield_per_area
1,1997,1,2,6637.0,4685,631643.29,2057.47,0.710434783,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.30999999999999994,0.7058912159108031
8,1997,1,2,796.0,22,75755.32,246.76,0.238333333,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,0.02763819095477387
11,1997,1,2,1739.0,794,165500.63,539.09,0.420909091,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,0.4565842438182864
13,1997,4,2,13587.0,9073,1293074.79,4211.97,0.643636364,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,0.667770663133878
16,1997,2,2,2979.0,1507,283511.43,923.49,0.465454545,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,0.5058744545149378
23,1997,2,2,10098.0,5158,961026.66,3130.38,0.461363636,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,0.5107942166765697
26,1997,1,2,5915.0,29003,562930.55,1833.65,4.568947368,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,4.903296703296704
29,1997,4,2,9914.0,5076,943515.38,3073.34,0.482352941,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,0.5120032277587251
31,1997,4,2,7832.0,17943,745371.44,2427.92,2.342608696,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.16999999999999,0.31,2.290985699693565
44,1997,4,2,15765.0,8257,1500355.05,4887.15,0.487391304,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,0.5237551538217571
45,1997,1,2,10490.0,5391,998333.3,3251.9,0.473,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,0.5139180171591993
49,1997,4,2,9380.0,32618,892694.6,2907.8,3.440434783,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,3.4773987206823027
50,1997,4,2,2465.0,11728,234594.05,764.15,4.41826087,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,4.757809330628803
51,1997,4,2,433.0,26,41208.61,134.23,0.38,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,0.06004618937644342
52,1997,4,2,10071.0,6974,958457.07,3122.01,0.67,22.41,1468.92,70.71,60,18,38,5.8,,,,,,,,116,95.17,0.31,0.6924833680865853
2,1997,3,12,820.0,662,78039.4,254.2,0.81,23.55,894.16,69.61,72,42,25,6.9,,,,,,,,139,95.16999999999999,0.31,0.8073170731707318
5,1997,1,12,3825.0,924,364025.25,1185.75,0.4375,23.55,894.16,69.61,72,42,25,6.9,,,,,,,,139,95.17,0.31,0.2415686274509804
13,1997,2,12,4565.0,7895,434451.05,1415.15,1.869444444,23.55,894.16,69.61,72,42,25,6.9,,,,,,,,139,95.17,0.31,1.7294633077765609
14,1997,4,12,5061.0,3799,481655.37,1568.91,1.585,23.55,894.16,69.61,72,42,25,6.9,,,,,,,,139,95.17,0.31,0.7506421655799249
15,1997,1,12,3619.0,4745,344420.23,1121.89,1.262307692,23.55,894.16,69.61,72,42,25,6.9,,,,,,,,139,95.17,0.31000000000000005,1.3111356728378005
20,1997,3,12,6137.0,15135,584058.29,1902.47,2.470909091,23.55,894.16,69.61,72,42,25,6.9,,,,,,,,139,95.17,0.31,2.466188691543099
24,1997,3,12,9730.0,20893,926004.1,3016.3,2.165714286,23.55,894.16,69.61,72,42,25,6.9,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,139,95.17,0.31,2.1472764645426516
39,1997,3,12,13521.0,25035,1286793.57,4191.51,1.847777778,23.55,894.16,69.61,72,42,25,6.9,,,,,,,,139,95.17,0.31,1.8515642334146882
52,1997,4,12,4342.0,24108,413228.14,1346.02,4.452941176,23.55,894.16,69.61,72,42,25,6.9,,,,,,,,139,95.17,0.31,5.552280055274068
0,1997,4,17,9569.0,12116,910681.73,2966.39,1.245714286,17.16,1954.46,77.31,52,16,33,5.6,,,,,,,,101,95.17,0.31,1.266172013794545
1,1997,1,17,865.0,683,82322.05,268.15,0.806666667,17.16,1954.46,77.31,52,16,33,5.6,,,,,,,,101,95.17,0.31,0.7895953757225433
8,1997,2,17,30.0,15,2855.1,9.3,0.49,17.16,1954.46,77.31,52,16,33,5.6,,,,,,,,101,95.17,0.31,0.5
